Number,Canonical SMILES,Toxicity Value,Category
194,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1,51.99658626,0
195,CC(=Cc1ccccc1)C=C1SC(=S)N(CC(=O)O)C1=O,686.9849435,0
196,O=C(Cn1ccnc1[N+](=O)[O-])NCCO,3299.984593,1
197,C#CC(O)(C=CCl)CC,274.9980979,0
198,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,55.64820686,0
199,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,64.00413208,0
200,CCOC(=O)C=C(C)C=CC=C(C)C=Cc1c(C)cc(OC)c(C)c1C,1000.028211,0
201,N#CC(C#N)=NNc1ccc(OC(F)(F)F)cc1,7.999968518,-1
202,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,481.9905226,0
203,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,63.82247907,0
204,O=C(O)Cc1sc(-c2ccccc2)nc1-c1ccc(Cl)cc1,255.0722319,0
205,CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C,371.9470787,0
206,O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,498.9345528,0
207,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,1499.987818,0
208,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,1350.062461,0
209,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,649.989439,0
210,Fc1ccc(C(c2ccc(F)cc2)N2CCN(CC=Cc3ccccc3)CC2)cc1,378.9962518,0
211,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,103.0013658,0
212,CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,159.9899704,0
213,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC21C,2349.671716,1
214,CCOP(=O)(OCC)C(C)NC(=O)N(CCCl)N=O,59.99923984,0
215,O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,300.0000002,0
216,NCCCC(=O)O,4949.951997,1
217,CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,234.9985238,0
218,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,73998.41213,1
219,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2699.928952,1
220,CC1(C)OC2CC3C4CCC5=CC(=O)CCC5(C)C4(F)C(O)CC3(C)C2(C(=O)CCl)O1,150.0112095,0
221,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,129.9926873,0
222,CN1C2CCC1CC(OC(=O)C(O)c1ccccc1)C2,369.9892502,0
223,CC(C)Cc1ccc(C(C)C(=O)O)cc1,319.9922438,0
224,CC(=O)N(CC(C)C(=O)O)c1c(I)cc(I)c(N)c1I,2500.004074,1
225,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,4999.98407,1
